"[116.290626, 39.953324, 4431]","[116.290626, 39.953324, 4819]","[116.290626, 39.953324, 4918]","[116.290626, 39.953324, 4908]","[116.290626, 39.953324, 5487]"
"[116.290626, 39.963324, 4595]","[116.290626, 39.963324, 4285]","[116.290626, 39.963324, 4395]","[116.290626, 39.963324, 4684]","[116.290626, 39.963324, 6772]"
"[116.290626, 39.973324, 3998]","[116.290626, 39.973324, 3787]","[116.290626, 39.973324, 4186]","[116.290626, 39.973324, 4799]","[116.290626, 39.973324, 5645]"
"[116.290626, 39.983324, 4564]","[116.290626, 39.983324, 4357]","[116.290626, 39.983324, 4756]","[116.290626, 39.983324, 5276]","[116.290626, 39.983324, 6748]"
"[116.290626, 39.993324, 5174]","[116.290626, 39.993324, 6767]","[116.290626, 39.993324, 7280]","[116.290626, 39.993324, 7439]","[116.290626, 39.993324, 7892]"
"[116.290626, 40.003324, 4136]","[116.290626, 40.003324, 4400]","[116.290626, 40.003324, 4627]","[116.290626, 40.003324, 5143]","[116.290626, 40.003324, 7972]"
"[116.290626, 40.013324, 4500]","[116.290626, 40.013324, 4764]","[116.290626, 40.013324, 4991]","[116.290626, 40.013324, 6600]","[116.290626, 40.013324, 6012]"
"[116.290626, 40.023324, 4674]","[116.290626, 40.023324, 4942]","[116.290626, 40.023324, 5368]","[116.290626, 40.023324, 6243]","[116.290626, 40.023324, 5830]"
"[116.290626, 40.033324, 4837]","[116.290626, 40.033324, 5758]","[116.290626, 40.033324, 5923]","[116.290626, 40.033324, 6481]","[116.290626, 40.033324, 5942]"
"[116.290626, 40.043324, 7077]","[116.290626, 40.043324, 7520]","[116.290626, 40.043324, 7969]","[116.290626, 40.043324, 8179]","[116.290626, 40.043324, 8196]"
"[116.290626, 40.053324, 5678]","[116.290626, 40.053324, 5772]","[116.290626, 40.053324, 5794]","[116.290626, 40.053324, 5843]","[116.290626, 40.053324, 7614]"
"[116.300626, 39.863324, 4267]","[116.300626, 39.863324, 4517]","[116.300626, 39.863324, 4518]","[116.300626, 39.863324, 5521]","[116.300626, 39.863324, 6587]"
"[116.300626, 39.873324, 4053]","[116.300626, 39.873324, 4303]","[116.300626, 39.873324, 4304]","[116.300626, 39.873324, 5309]","[116.300626, 39.873324, 7088]"
"[116.300626, 39.883324, 4469]","[116.300626, 39.883324, 4720]","[116.300626, 39.883324, 5343]","[116.300626, 39.883324, 5968]","[116.300626, 39.883324, 5665]"
"[116.300626, 39.893324, 5050]","[116.300626, 39.893324, 5908]","[116.300626, 39.893324, 5965]","[116.300626, 39.893324, 6459]","[116.300626, 39.893324, 6776]"
"[116.300626, 39.903324, 4164]","[116.300626, 39.903324, 4145]","[116.300626, 39.903324, 4317]","[116.300626, 39.903324, 5265]","[116.300626, 39.903324, 6386]"
"[116.300626, 39.913324, 3280]","[116.300626, 39.913324, 3690]","[116.300626, 39.913324, 3923]","[116.300626, 39.913324, 4471]","[116.300626, 39.913324, 5790]"
"[116.300626, 39.923324, 4128]","[116.300626, 39.923324, 4621]","[116.300626, 39.923324, 4270]","[116.300626, 39.923324, 4403]","[116.300626, 39.923324, 5693]"
"[116.300626, 39.933324, 3967]","[116.300626, 39.933324, 4231]","[116.300626, 39.933324, 4711]","[116.300626, 39.933324, 5497]","[116.300626, 39.933324, 5111]"
"[116.300626, 39.943324, 3583]","[116.300626, 39.943324, 3847]","[116.300626, 39.943324, 4965]","[116.300626, 39.943324, 4703]","[116.300626, 39.943324, 4588]"
"[116.300626, 39.953324, 3775]","[116.300626, 39.953324, 4200]","[116.300626, 39.953324, 4218]","[116.300626, 39.953324, 3885]","[116.300626, 39.953324, 4174]"
"[116.300626, 39.963324, 4074]","[116.300626, 39.963324, 3764]","[116.300626, 39.963324, 3874]","[116.300626, 39.963324, 4163]","[116.300626, 39.963324, 6818]"
"[116.300626, 39.973324, 4334]","[116.300626, 39.973324, 4128]","[116.300626, 39.973324, 4527]","[116.300626, 39.973324, 5043]","[116.300626, 39.973324, 7158]"
"[116.300626, 39.983324, 5479]","[116.300626, 39.983324, 5267]","[116.300626, 39.983324, 5666]","[116.300626, 39.983324, 6733]","[116.300626, 39.983324, 6234]"
"[116.300626, 39.993324, 4345]","[116.300626, 39.993324, 5521]","[116.300626, 39.993324, 5396]","[116.300626, 39.993324, 5833]","[116.300626, 39.993324, 6767]"
"[116.300626, 40.003324, 3642]","[116.300626, 40.003324, 4252]","[116.300626, 40.003324, 4655]","[116.300626, 40.003324, 6673]","[116.300626, 40.003324, 7598]"
"[116.300626, 40.013324, 4651]","[116.300626, 40.013324, 5240]","[116.300626, 40.013324, 5142]","[116.300626, 40.013324, 5600]","[116.300626, 40.013324, 8293]"
